Column1,Column2,Column3,Column4
,178400000,2787.102,
,187800000,2735.59,
,199600000,2673.636,
,211300000,2615.557,
,223100000,2562.278,
,234800000,2513.852,
,258300000,2428.971,
,281800000,2355.556,
,305200000,2290.164,
,328700000,2230.903,
,352200000,2176.62,
,375700000,2126.525,
,422600000,2036.681,
,469600000,1957.99,
,704400000,1671.842,
,939200000,1491.306,
81,2p-1,->,4d0
,10,4861.32,
,4696000,4808.316,
,7044000,4779.294,
,9392000,4749.235,
,11740000,4718.292,
,14090000,4686.625,
,16440000,4654.394,
,18780000,4621.75,
,21130000,4588.832,
,23480000,4555.765,
,25830000,4522.658,
,28180000,4489.605,
,30520000,4456.686,
,32870000,4423.968,
,37570000,4359.339,
,42260000,4296.037,
,46960000,4234.253,
,49310000,4203.963,
,51650000,4174.084,
,54000000,4144.618,
,56350000,4115.566,
,58700000,4086.923,
,61050000,4058.686,
,63390000,4030.85,
,65740000,4003.406,
,68090000,3976.346,
,70440000,3949.661,
,72790000,3923.342,
,75130000,3897.378,
,77480000,3871.757,
,79830000,3846.469,
,82180000,3821.501,
,84530000,3796.841,
,85000000,3791.945,
,85470000,3787.061,
,85930000,3782.188,
,86400000,3777.327,
,86870000,3772.477,
,87340000,3767.639,
,87810000,3762.812,
,88280000,3757.995,
,88750000,3753.19,
,89220000,3748.396,
,89690000,3743.613,
,90160000,3738.84,
,90630000,3734.078,
,91100000,3729.326,
,91570000,3724.585,
,92040000,3719.854,
,92510000,3715.133,
,92980000,3710.422,
,93450000,3705.721,
,93920000,3701.03,
,103300000,3609.102,
,112700000,3520.159,
,122100000,3433.318,
,131500000,3347.848,
,136200000,3305.506,
,140900000,3263.439,
,150300000,3180.452,
,152600000,3160.039,
,159700000,3099.934,
,164400000,3061.038,
,169100000,3023.288,
,176100000,2969.142,
,178400000,2951.815,
,187800000,2886.34,
,199600000,2813.144,
,211300000,2748.66,
,223100000,2691.294,
,234800000,2639.48,
,258300000,2547.959,
,281800000,2467.975,
,305200000,2396.391,
,328700000,2331.403,
,352200000,2271.838,
,375700000,2216.854,
,422600000,2118.222,
,469600000,2031.826,
,704400000,1719.616,
,939200000,1527.079,
46,2p0,->,4s0
,10,4861.32,
,4696000,4849.643,
,7044000,4833.666,
,9392000,4811.974,
,11740000,4785.131,
,14090000,4753.754,
,16440000,4718.463,
,18780000,4679.865,
,21130000,4638.526,
,23480000,4594.977,
,25830000,4549.7,
,28180000,4503.138,
,30520000,4455.699,
,32870000,4407.767,
,35220000,4359.72,
,37570000,4311.962,
,42260000,4219.626,
,46960000,4140.644,
,51650000,4089.71,
,56350000,4054.132,
,61050000,4022.909,
